source,target
22260,150
22260,264
22260,266
22260,402
22260,460
22260,469
22260,618
22260,622
22260,640
22260,671
22260,690
22260,693
22260,746
22260,750
22260,795
22260,839
22260,844
22260,988
22260,1003
22260,942
22260,947
22260,963
22260,964
22260,1004
22260,1108
22260,1161
22260,1181
22260,1301
22260,1310
22260,1318
22260,1332
22260,1392
22260,1412
22260,1449
22260,1566
22260,1651
22260,1704
22260,1734
22260,1993
22260,2067
22260,2099
22260,2107
22260,2112
22260,2114
22260,2131
22260,2277
22260,2295
22260,2306
22260,2319
22260,2331
22260,2333
22260,2335
22260,2351
22260,2383
22260,2386
22260,2403
22260,2432
22260,2460
22260,2582
22260,2598
22260,2599
22260,2615
22260,2679
22260,2697
22260,2723
22260,2837
22260,2839
22260,2863
22260,2897
22260,2901
22260,2906
22260,3095
22260,3147
22260,3148
22260,3205
22260,3411
22260,3442
22260,3465
22260,3467
22260,3520
22260,3569
22260,3577
22260,3625
22260,3688
22260,3690
22260,3698
22260,3710
22260,3712
22260,3791
22260,3794
22260,3850
22260,3975
22260,3980
22260,4146
22260,4183
22260,4190
22260,4206
22260,4217
22260,4278
22260,4305
22260,4371
22260,4481
22260,4568
22260,4660
22260,4767
22260,4853
22260,4857
22260,4938
22260,5229
22260,5230
22260,5231
22260,5237
22260,5288
22260,5592
22260,5634
22260,6249
22260,6334
22260,6408
22260,6485
22260,6503
22260,6532
22260,6606
22260,6621
22260,6670
22260,6693
22260,6701
22260,6757
22260,6769
22260,6793
22260,6813
22260,6876
22260,6884
22260,6885
22260,6897
22260,6920
22260,7029
22260,7054
22260,7056
22260,7065
22260,7080
22260,7099
22260,7146
22260,7179
22260,7188
22260,7195
22260,7224
22260,7240
22260,7251
22260,7256
22260,7264
22260,7285
22260,7286
22260,7323
22260,7324
22260,7327
22260,7400
22260,7403
22260,7407
22260,7421
22260,7465
22260,7530
22260,7558
22260,7602
22260,7650
22260,7651
22260,7654
22260,7712
22260,7779
22260,7791
22260,7793
22260,7817
