source,target
2290,596
2290,769
2290,915
2290,976
2290,1075
2290,1111
2290,1417
2290,1419
2290,1728
2290,1812
2290,1908
2290,2099
2290,2185
2290,259
2290,353
2290,401
2290,599
2290,716
2290,730
2290,754
2290,922
2290,946
2290,947
2290,1007
2290,1072
2290,1089
2290,1106
2290,1140
2290,1195
2290,1229
2290,1233
2290,1259
2290,1295
2290,1337
2290,1354
2290,1357
2290,1602
2290,1685
2290,1702
2290,1836
2290,1884
2290,1886
2290,1899
2290,1941
2290,1943
2290,2097
2290,2157
2290,2180
2290,2205
2290,2289
2290,2439
2290,2636
2290,2654
2290,2946
2290,2990
2290,3076
2290,3134
2290,3240
2290,3344
2290,2291
2290,2292
2290,2296
2290,2298
2290,2305
2290,2306
2290,2308
2290,2309
2290,2316
2290,2317
2290,2349
2290,2400
2290,2434
2290,2451
2290,2473
2290,2494
2290,2504
2290,2506
2290,2512
2290,2515
2290,2565
2290,2569
2290,2702
2290,2718
2290,2752
2290,2753
2290,2772
2290,2845
2290,2860
2290,2915
2290,2927
2290,2937
2290,3114
2290,3115
2290,3129
2290,3178
2290,3181
2290,3245
2290,3259
2290,3265
2290,3320
2290,3418
2290,3495
2290,3715
2290,3745
2290,3769
2290,3776
2290,3823
2290,3840
2290,3956
2290,4234
2290,4248
2290,4530
2290,4549
2290,3438
2290,3509
2290,3525
2290,3551
2290,3681
2290,3713
2290,3742
2290,3770
2290,3775
2290,3783
2290,3786
2290,3799
2290,3836
2290,3968
2290,4108
2290,4114
2290,4124
2290,4132
2290,4171
2290,4206
2290,4213
2290,4228
2290,4233
2290,4237
2290,4280
2290,4303
2290,4407
2290,4422
2290,4427
2290,4491
2290,4511
2290,4532
2290,4562
2290,4593
2290,4707
2290,4791
2290,4796
2290,4809
2290,4816
2290,4856
2290,5431
2290,5675
2290,5687
2290,5726
2290,5745
2290,5754
2290,5968
2290,6127
2290,6175
2290,6423
2290,4806
2290,4953
2290,5009
2290,5038
2290,5041
2290,5087
2290,5216
2290,5345
2290,5406
2290,5411
2290,5425
2290,5427
2290,5428
2290,5476
2290,5499
2290,5698
2290,5749
2290,5752
2290,5762
2290,6046
2290,6078
2290,6103
2290,6104
2290,6130
2290,6197
2290,6209
2290,6246
2290,6291
2290,6303
2290,6305
2290,6413
2290,6419
2290,6424
2290,6429
2290,6535
2290,6547
2290,6581
2290,6773
2290,6792
2290,6954
2290,7072
2290,7198
2290,7256
2290,7358
2290,7482
2290,3470
2290,3471
2290,6674
2290,6733
2290,6750
2290,6756
2290,6769
2290,6777
2290,6800
2290,6914
2290,6978
2290,7018
2290,7158
2290,7197
2290,7212
2290,7226
2290,7242
2290,7280
2290,7328
2290,7346
2290,7347
2290,7378
2290,7131
2290,7135
2290,4327
2290,3310
2290,3469
2290,3472
2290,5450
259,2
259,3
259,4
259,76
259,99
259,143
259,144
259,145
259,146
259,147
259,148
259,149
259,150
259,151
259,152
259,153
259,154
259,155
259,156
259,157
259,158
259,160
259,161
259,162
259,163
259,164
259,165
259,166
259,167
259,168
259,169
259,170
259,171
259,172
259,173
259,174
259,175
259,176
259,177
259,178
259,179
259,180
259,181
259,182
259,183
259,184
259,185
259,186
259,187
259,188
259,189
259,190
259,191
259,192
259,193
259,194
259,195
259,196
259,197
259,198
259,199
259,200
259,201
259,202
259,203
259,204
259,205
259,206
259,207
259,208
259,209
259,210
259,211
259,212
259,213
259,214
259,215
259,216
259,217
259,218
259,219
259,220
259,221
259,222
259,223
259,224
259,225
259,226
259,227
259,228
259,229
259,230
259,231
259,232
259,233
259,234
259,235
259,236
259,237
259,238
259,1017
259,1061
259,239
259,240
259,241
259,242
259,243
259,244
259,245
259,246
259,247
259,248
259,249
259,250
259,251
259,252
259,253
259,254
259,260
259,263
259,265
259,266
259,282
259,283
259,384
259,401
259,434
259,484
259,493
259,601
259,602
259,616
259,794
259,795
259,796
259,810
259,818
259,823
259,824
259,888
259,886
259,990
259,1142
259,1239
259,1243
259,1313
259,1322
259,1323
259,1383
259,1384
259,1451
259,1503
259,2624
259,3086
259,3264
259,4190
259,1399
259,1414
259,1423
259,1426
259,1487
259,1725
259,2116
259,2213
259,2219
259,2249
259,2322
259,2376
259,2400
259,2547
259,2657
259,2808
259,2810
259,2899
259,2973
259,3084
259,3228
259,3229
259,3316
259,3346
259,3438
259,3522
259,3580
259,3617
259,3626
259,3660
259,3661
259,3668
259,3705
259,3762
259,3768
259,3787
259,3798
259,3832
259,4008
259,4039
259,4045
259,4186
259,4191
259,4207
259,5074
259,5225
259,5491
259,6466
259,4601
259,4605
259,4651
259,4702
259,4704
259,4759
259,4858
259,4859
259,4860
259,4913
259,4937
259,4939
259,4940
259,5131
259,5134
259,5168
259,5218
259,5220
259,5396
259,5529
259,5609
259,5623
259,5654
259,5734
259,5867
259,5887
259,5889
259,5926
