node_id,node_name,node_summary,node_et_equivalent
3767,Kreatsionism,"Kreatsionism (ladina keeles creatio loomine, omastavas käändes creationis)  on religioossed, teoloogilised ja filosoofilised veendumused või maailmavaated, milles maailm ja elu on otseselt Jumala (või kõrgema olevuse) loodud.   Mõistet kasutas Charles Darwin 1856.  aasta kirjas nende kohta, kes usulistel põhjustel vaidlustasid tekkivat evolutsiooni(teooriat), kui teadust.  Kreatsionistlikud kontseptsioonid varieeruvad üksteisest religioossetes ja filosoofilistes suhtumistes teadusesse.  Kreatsionist.",Creationism
1992,Elin Nordegren,,
2412,Frédéric Boissonnas,,
4451,Maude Goodman,,
4877,Natural Kinds and Genesis,,
5248,Paul J. Nahin,,
5114,Originaal,"Originaal (ladina keeles originalis, prantsuse keeles original) on algne, personaalne, kaasasündinud või loodud objekt.    Schopenhauer (1788-1860) ütleb (Vierf.  Wurzel des Satzes vom zureich.  Grunde S.  103): ''das mit Hilfe anschaulicher Vorstellungen operierende Denken ist der eigentliche Kern aller Erkenntnis, indem er zurück geht auf die Urquelle; auf die Grundlage aller Begriffe.  Daher ist es der Erzeuger aller wahrhaft originellen Gedanken, aller ursprünglichen Grundansichten und aller Erfi.",Originality
4314,Majandus,"Majandus on inimtegevus, mille eesmärk on tagada inimestele vajalike kaupade ja teenuste tootmist, vahetust, jaotust ja tarbimise võimalust.  Riigi majanduse eesmärk on tagada riigi elanikkonna äraelamise ja arengu võimalusi, sellepärast kuuluvad riigi majanduse koosseisu sellised tegevusalad nagu toidu ja rõivastuse hankimine, elamute ehitamine ja kütmine, hariduse saamine, tervise ja kultuuriliste vajaduste eest hoolitsemine. Väike entsüklopeedia, lk.  725   Majandus hõlmab ettevõtteid ja asutusi.",Economy
1599,David Furley,,
1317,Berkeley,pisi|Campanile'i kellatorn ja Satheri väravad Berkeley ülikoolilinnakus pisi|Vaade Berkeley mägedest Berkeleyle ja San Francisco lahele Berkeley on linn Ameerika Ühendriikides California osariigis Alameda maakonnas.  Piirneb lõunas Oaklandi ja Emeryville'i linnaga.  Asub San Francisco lahe ääres.   Enne kolonisatsiooni elasid tänapäeva linna alal costanoa indiaanlased.  Esimeste eurooplastena jõudsid sinna 1776.  aastal Juan Bautista de Anza ekspeditsiooni liikmed.  Berkeley on asutatud 1878.  aastal.  .,"Berkeley, California"
